Row,"(0,0)","(0,1)","(0,2)","(1,0)","(1,1)","(1,2)","(2,0)","(2,1)","(2,2)"
Function 1,0,0,0,0,0,0,1,0,0
Function 2,0,0,0,0,0,0,1,1,0
Function 3,0,0,0,0,0,0,1,1,1
Function 4,0,0,0,1,0,0,1,0,0
Function 5,0,0,0,1,0,0,1,1,0
Function 6,0,0,0,1,0,0,1,1,1
Function 7,0,0,0,1,1,0,1,1,0
Function 8,0,0,0,1,1,0,1,1,1
Function 9,0,0,0,1,1,1,1,1,1
Function 10,1,0,0,1,0,0,1,0,0
Function 11,1,0,0,1,0,0,1,1,0
Function 12,1,0,0,1,0,0,1,1,1
Function 13,1,0,0,1,1,0,1,1,0
Function 14,1,0,0,1,1,0,1,1,1
Function 15,1,0,0,1,1,1,1,1,1
Function 16,1,1,0,1,1,0,1,1,0
Function 17,1,1,0,1,1,0,1,1,1
Function 18,1,1,0,1,1,1,1,1,1
